CIDR block,IP Address,IP range (network - broadcast),Subnet Mask,IP Quantity,hostname
10.0.0.0/24,10.0.0.124,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host285
10.0.0.0/24,10.0.0.125,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host286
10.0.0.0/24,10.0.0.126,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host287
10.0.0.0/24,10.0.0.127,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host288
10.0.0.0/24,10.0.0.128,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host289
10.0.0.0/24,10.0.0.129,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host290
10.0.0.0/24,10.0.0.13,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host291
10.0.0.0/24,10.0.0.130,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host292
10.0.0.0/24,10.0.0.131,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host293
10.0.0.0/24,10.0.0.132,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host294
10.0.0.0/24,10.0.0.133,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host295
10.0.0.0/24,10.0.0.134,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host296
10.0.0.0/24,10.0.0.135,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host297
10.0.0.0/24,10.0.0.136,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host298
10.0.0.0/24,10.0.0.137,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host299
10.0.0.0/24,10.0.0.138,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host300
10.0.0.0/24,10.0.0.139,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host301
10.0.0.0/24,10.0.0.14,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host302
10.0.0.0/24,10.0.0.140,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host303
10.0.0.0/24,10.0.0.141,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host304
10.0.0.0/24,10.0.0.142,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host305
10.0.0.0/24,10.0.0.143,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host306
10.0.0.0/24,10.0.0.144,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host307
10.0.0.0/24,10.0.0.145,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host308
10.0.0.0/24,10.0.0.146,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host309
10.0.0.0/24,10.0.0.147,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host310
10.0.0.0/24,10.0.0.148,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host311
10.0.0.0/24,10.0.0.149,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host312
10.0.0.0/24,10.0.0.15,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host313
10.0.0.0/24,10.0.0.150,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host314
10.0.0.0/24,10.0.0.151,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host315
10.0.0.0/24,10.0.0.152,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host316
10.0.0.0/24,10.0.0.153,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host317
10.0.0.0/24,10.0.0.154,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host318
10.0.0.0/24,10.0.0.155,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host319
10.0.0.0/24,10.0.0.156,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host320
10.0.0.0/24,10.0.0.157,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host321
10.0.0.0/24,10.0.0.158,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host322
10.0.0.0/24,10.0.0.159,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host323
10.0.0.0/24,10.0.0.16,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host324
10.0.0.0/24,10.0.0.160,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host325
10.0.0.0/24,10.0.0.161,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host326
10.0.0.0/24,10.0.0.162,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host327
10.0.0.0/24,10.0.0.163,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host328
10.0.0.0/24,10.0.0.164,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host329
10.0.0.0/24,10.0.0.165,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host330
10.0.0.0/24,10.0.0.166,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host331
10.0.0.0/24,10.0.0.167,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host332
10.0.0.0/24,10.0.0.168,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host333
10.0.0.0/24,10.0.0.169,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host334
10.0.0.0/24,10.0.0.17,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host335
10.0.0.0/24,10.0.0.170,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host336
10.0.0.0/24,10.0.0.171,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host337
10.0.0.0/24,10.0.0.172,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host338
10.0.0.0/24,10.0.0.173,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host339
10.0.0.0/24,10.0.0.174,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host340
10.0.0.0/24,10.0.0.175,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host341
10.0.0.0/24,10.0.0.176,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host342
10.0.0.0/24,10.0.0.177,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host343
10.0.0.0/24,10.0.0.178,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host344
10.0.0.0/24,10.0.0.179,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host345
10.0.0.0/24,10.0.0.18,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host346
10.0.0.0/24,10.0.0.180,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host347
10.0.0.0/24,10.0.0.181,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host348
10.0.0.0/24,10.0.0.182,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host349
10.0.0.0/24,10.0.0.183,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host350
10.0.0.0/24,10.0.0.184,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host351
10.0.0.0/24,10.0.0.185,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host352
10.0.0.0/24,10.0.0.186,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host353
10.0.0.0/24,10.0.0.187,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host354
10.0.0.0/24,10.0.0.188,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host355
10.0.0.0/24,10.0.0.189,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host356
10.0.0.0/24,10.0.0.19,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host357
10.0.0.0/24,10.0.0.190,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host358
10.0.0.0/24,10.0.0.191,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host359
10.0.0.0/24,10.0.0.192,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host360
10.0.0.0/24,10.0.0.193,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host361
10.0.0.0/24,10.0.0.194,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host362
10.0.0.0/24,10.0.0.195,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host363
10.0.0.0/24,10.0.0.196,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host364
10.0.0.0/24,10.0.0.197,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host365
10.0.0.0/24,10.0.0.198,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host366
10.0.0.0/24,10.0.0.199,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host367
10.0.0.0/24,10.0.0.2,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host368
10.0.0.0/24,10.0.0.20,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host369
10.0.0.0/24,10.0.0.200,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host370
10.0.0.0/24,10.0.0.201,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host371
10.0.0.0/24,10.0.0.202,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host372
10.0.0.0/24,10.0.0.203,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host373
10.0.0.0/24,10.0.0.204,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host374
10.0.0.0/24,10.0.0.205,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host375
10.0.0.0/24,10.0.0.206,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host376
10.0.0.0/24,10.0.0.207,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host377
10.0.0.0/24,10.0.0.208,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host378
10.0.0.0/24,10.0.0.209,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host379
10.0.0.0/24,10.0.0.21,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host380
10.0.0.0/24,10.0.0.210,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host381
10.0.0.0/24,10.0.0.211,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host382
10.0.0.0/24,10.0.0.212,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host383
10.0.0.0/24,10.0.0.213,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host384
10.0.0.0/24,10.0.0.214,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host385
10.0.0.0/24,10.0.0.215,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host386
10.0.0.0/24,10.0.0.216,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host387
10.0.0.0/24,10.0.0.217,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host388
10.0.0.0/24,10.0.0.218,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host389
10.0.0.0/24,10.0.0.219,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host390
10.0.0.0/24,10.0.0.22,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host391
10.0.0.0/24,10.0.0.220,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host392
10.0.0.0/24,10.0.0.221,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host393
10.0.0.0/24,10.0.0.222,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host394
10.0.0.0/24,10.0.0.223,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host395
10.0.0.0/24,10.0.0.224,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host396
10.0.0.0/24,10.0.0.225,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host397
10.0.0.0/24,10.0.0.226,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host398
10.0.0.0/24,10.0.0.227,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host399
10.0.0.0/24,10.0.0.228,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host400
10.0.0.0/24,10.0.0.229,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host401
10.0.0.0/24,10.0.0.23,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host402
10.0.0.0/24,10.0.0.230,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host403
10.0.0.0/24,10.0.0.231,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host404
10.0.0.0/24,10.0.0.232,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host405
10.0.0.0/24,10.0.0.233,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host406
10.0.0.0/24,10.0.0.234,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host407
10.0.0.0/24,10.0.0.235,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host408
10.0.0.0/24,10.0.0.236,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host409
10.0.0.0/24,10.0.0.237,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host410
10.0.0.0/24,10.0.0.238,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host411
10.0.0.0/24,10.0.0.239,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host412
10.0.0.0/24,10.0.0.24,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host413
10.0.0.0/24,10.0.0.240,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host414
10.0.0.0/24,10.0.0.241,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host415
10.0.0.0/24,10.0.0.242,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host416
10.0.0.0/24,10.0.0.243,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host417
10.0.0.0/24,10.0.0.244,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host418
10.0.0.0/24,10.0.0.245,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host419
10.0.0.0/24,10.0.0.246,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host420
10.0.0.0/24,10.0.0.247,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host421
10.0.0.0/24,10.0.0.248,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host422
10.0.0.0/24,10.0.0.249,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host423
10.0.0.0/24,10.0.0.25,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host424
10.0.0.0/24,10.0.0.250,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host425
10.0.0.0/24,10.0.0.251,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host426
10.0.0.0/24,10.0.0.252,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host427
10.0.0.0/24,10.0.0.253,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host428
10.0.0.0/24,10.0.0.254,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host429
10.0.0.0/24,10.0.0.255,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host430
10.0.0.0/24,10.0.0.26,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host431
10.0.0.0/24,10.0.0.27,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host432
10.0.0.0/24,10.0.0.28,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host433
10.0.0.0/24,10.0.0.29,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host434
10.0.0.0/24,10.0.0.3,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host435
10.0.0.0/24,10.0.0.30,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host436
10.0.0.0/24,10.0.0.31,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host437
10.0.0.0/24,10.0.0.32,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host438
10.0.0.0/24,10.0.0.33,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host439
10.0.0.0/24,10.0.0.34,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host440
10.0.0.0/24,10.0.0.35,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host441
10.0.0.0/24,10.0.0.36,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host442
10.0.0.0/24,10.0.0.37,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host443
10.0.0.0/24,10.0.0.38,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host444
10.0.0.0/24,10.0.0.39,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host445
10.0.0.0/24,10.0.0.4,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host446
10.0.0.0/24,10.0.0.40,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host447
10.0.0.0/24,10.0.0.41,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host448
10.0.0.0/24,10.0.0.42,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host449
10.0.0.0/24,10.0.0.43,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host450
10.0.0.0/24,10.0.0.44,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host451
10.0.0.0/24,10.0.0.45,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host452
10.0.0.0/24,10.0.0.46,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host453
10.0.0.0/24,10.0.0.47,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host454
10.0.0.0/24,10.0.0.48,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host455
10.0.0.0/24,10.0.0.49,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host456
10.0.0.0/24,10.0.0.5,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host457
10.0.0.0/24,10.0.0.50,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host458
10.0.0.0/24,10.0.0.51,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host459
10.0.0.0/24,10.0.0.52,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host460
10.0.0.0/24,10.0.0.53,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host461
10.0.0.0/24,10.0.0.54,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host462
10.0.0.0/24,10.0.0.55,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host463
10.0.0.0/24,10.0.0.56,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host464
10.0.0.0/24,10.0.0.57,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host465
10.0.0.0/24,10.0.0.58,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host466
10.0.0.0/24,10.0.0.59,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host467
10.0.0.0/24,10.0.0.6,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host468
10.0.0.0/24,10.0.0.60,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host469
10.0.0.0/24,10.0.0.61,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host470
10.0.0.0/24,10.0.0.62,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host471
10.0.0.0/24,10.0.0.63,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host472
10.0.0.0/24,10.0.0.64,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host473
10.0.0.0/24,10.0.0.65,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host474
10.0.0.0/24,10.0.0.66,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host475
10.0.0.0/24,10.0.0.67,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host476
10.0.0.0/24,10.0.0.68,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host477
10.0.0.0/24,10.0.0.69,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host478
10.0.0.0/24,10.0.0.7,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host479
10.0.0.0/24,10.0.0.70,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host480
10.0.0.0/24,10.0.0.71,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host481
10.0.0.0/24,10.0.0.72,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host482
10.0.0.0/24,10.0.0.73,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host483
10.0.0.0/24,10.0.0.74,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host484
10.0.0.0/24,10.0.0.75,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host485
10.0.0.0/24,10.0.0.76,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host486
10.0.0.0/24,10.0.0.77,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host487
10.0.0.0/24,10.0.0.78,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host488
10.0.0.0/24,10.0.0.79,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host489
10.0.0.0/24,10.0.0.8,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host490
10.0.0.0/24,10.0.0.80,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host491
10.0.0.0/24,10.0.0.81,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host492
10.0.0.0/24,10.0.0.82,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host493
10.0.0.0/24,10.0.0.83,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host494
10.0.0.0/24,10.0.0.84,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host495
10.0.0.0/24,10.0.0.85,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host496
10.0.0.0/24,10.0.0.86,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host497
10.0.0.0/24,10.0.0.87,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host498
10.0.0.0/24,10.0.0.88,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host499
10.0.0.0/24,10.0.0.89,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host500
10.0.0.0/24,10.0.0.9,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host501
10.0.0.0/24,10.0.0.90,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host502
10.0.0.0/24,10.0.0.91,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host503
10.0.0.0/24,10.0.0.92,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host504
10.0.0.0/24,10.0.0.93,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host505
10.0.0.0/24,10.0.0.94,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host506
10.0.0.0/24,10.0.0.95,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host507
10.0.0.0/24,10.0.0.96,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host508
10.0.0.0/24,10.0.0.97,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host509
10.0.0.0/24,10.0.0.98,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host510
10.0.0.0/24,10.0.0.99,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host511
10.0.0.0/23,10.0.0.0,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host512
10.0.0.0/23,10.0.0.1,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host513
10.0.0.0/23,10.0.0.10,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host514
10.0.0.0/23,10.0.0.100,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host515
10.0.0.0/23,10.0.0.101,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host516
10.0.0.0/23,10.0.0.102,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host517
10.0.0.0/23,10.0.0.103,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host518
10.0.0.0/23,10.0.0.104,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host519
10.0.0.0/23,10.0.0.105,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host520
10.0.0.0/23,10.0.0.106,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host521
10.0.0.0/23,10.0.0.107,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host522
10.0.0.0/23,10.0.0.108,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host523
10.0.0.0/23,10.0.0.109,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host524
10.0.0.0/23,10.0.0.11,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host525
10.0.0.0/23,10.0.0.110,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host526
10.0.0.0/23,10.0.0.111,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host527
10.0.0.0/23,10.0.0.112,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host528
10.0.0.0/23,10.0.0.113,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host529
10.0.0.0/23,10.0.0.114,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host530
10.0.0.0/23,10.0.0.115,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host531
10.0.0.0/23,10.0.0.116,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host532
10.0.0.0/23,10.0.0.117,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host533
10.0.0.0/23,10.0.0.118,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host534
10.0.0.0/23,10.0.0.119,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host535
10.0.0.0/23,10.0.0.12,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host536
10.0.0.0/23,10.0.0.120,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host537
10.0.0.0/23,10.0.0.121,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host538
10.0.0.0/23,10.0.0.122,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host539
10.0.0.0/23,10.0.0.123,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host540
10.0.0.0/23,10.0.0.124,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host541
10.0.0.0/23,10.0.0.125,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host542
10.0.0.0/23,10.0.0.126,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host543
10.0.0.0/23,10.0.0.127,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host544
10.0.0.0/23,10.0.0.128,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host545
10.0.0.0/23,10.0.0.129,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host546
10.0.0.0/23,10.0.0.13,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host547
10.0.0.0/23,10.0.0.130,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host548
10.0.0.0/23,10.0.0.131,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host549
10.0.0.0/23,10.0.0.132,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host550
10.0.0.0/23,10.0.0.133,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host551
10.0.0.0/23,10.0.0.134,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host552
10.0.0.0/23,10.0.0.135,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host553
10.0.0.0/23,10.0.0.136,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host554
10.0.0.0/23,10.0.0.137,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host555
10.0.0.0/23,10.0.0.138,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host556
10.0.0.0/23,10.0.0.139,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host557
10.0.0.0/23,10.0.0.14,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host558
10.0.0.0/23,10.0.0.140,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host559
10.0.0.0/23,10.0.0.141,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host560
10.0.0.0/23,10.0.0.142,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host561
10.0.0.0/23,10.0.0.143,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host562
10.0.0.0/23,10.0.0.144,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host563
10.0.0.0/23,10.0.0.145,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host564
10.0.0.0/23,10.0.0.146,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host565
10.0.0.0/23,10.0.0.147,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host566
10.0.0.0/23,10.0.0.148,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host567
10.0.0.0/23,10.0.0.149,10.0.0.0 - 10.0.1.255,255.255.254.0,512,host568
